Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources
ELEC,EVSLCC SCC 1,1575 South State St,Northeast of buliding next to northeast door,Salt Lake City,UT,84115,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.735711,-111.886926,2025-01-17,69012,2025-01-17 00:42:23 UTC,,,,2015-10-02,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,UVU PARKING SVCS 1,936 S 400 W St,,Orem,UT,84058,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.280316,-111.705425,2025-01-17,69059,2025-01-17 00:42:53 UTC,,,,2015-10-02,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,Tim Dahle Nissan Southtowne,11155 S Jordan Gateway,,South Jordan,UT,84095,,801-727-4651,E,,Public - Call ahead,Dealership business hours,,,,,,4,1,,Non-Networked,,200-8,40.54882,-111.89718,2024-02-12,70456,2024-02-12 15:25:05 UTC,P,,,2012-02-02,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Tim Dahle Nissan Southtowne,11155 S Jordan Gateway,,South Jordan,UT,84095,,801-727-4651,E,,Private,Service center use only,,,,,,2,,,Non-Networked,,200-8,40.54882,-111.89718,2024-02-12,70468,2024-02-12 15:25:05 UTC,P,,,2012-02-02,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,,,,,,,,,false,
ELEC,Mountainland Association of Governments,586 E 800 N,,Orem,UT,84097,,801-229-3800,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,200-9,40.311431,-111.681877,2023-12-13,75614,2024-01-31 22:07:01 UTC,P,,,2015-11-30,,,,,J1772,US,,,,Public,,public,,,OFFICE_BLDG,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,SRO TOWNE RIDGE 3,75 Towne Ridge Parkway,,Sandy,UT,84070,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.574722,-111.893125,2025-01-17,78902,2025-01-17 00:44:56 UTC,,,,2016-10-09,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,1800 S 300 W 1800 S 300 W,1834 300 W,West of Jimmy Johns,South Salt Lake,UT,84115,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.730178,-111.900669,2025-01-17,82445,2025-01-17 00:51:38 UTC,,,,2017-04-28,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,LONE PEAK 6 SYNCHRONY,170 West Election Rd,Northeast corner of building,Draper,UT,84020,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.536457,-111.895384,2025-01-17,85937,2025-01-17 00:53:23 UTC,,,,2017-07-19,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,EVSLCC LHM 1,9750 South 300 West,,Sandy,UT,84070,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.574206,-111.901399,2025-01-17,87581,2025-01-17 00:55:22 UTC,,,,2017-09-13,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,Summit County - Library,1885 W Ute Blvd,Exit 145 from I-80 onto SR-224; immediate right turn onto Ute Blvd; immediate left turn into parking lot of library.  Chargers on north side of building,Park City,UT,84098,,888-505-2170,E,,Public,24 hours daily; please move vehicle when done charging,,,,,,2,2,,Non-Networked,,GPS,40.724041,-111.546222,2023-01-10,91867,2023-02-14 15:54:11 UTC,LG,,,2017-05-01,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public,,public,,,LIBRARY,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Summit County - Courthouse,60 N Main St,I-80 exit 162,Coalville,UT,84017,,888-505-2170,E,,Public,24 hours daily; please move vehicle when done charging,,,,,,2,,,Non-Networked,,GPS,40.918173,-111.399073,2023-01-10,91868,2023-02-14 15:54:11 UTC,LG,,,2017-01-01,,,,,J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,SCO PCH ECCLES,11 S Wasatch Dr,,Salt Lake City,UT,84112,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.770694,-111.84186,2025-01-17,92342,2025-01-17 00:56:48 UTC,,,,2018-03-07,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,SCO PCH PARKING,57-77 Mario Capecchi Dr,,Salt Lake City,UT,84112,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.771888,-111.840176,2025-01-17,92343,2025-01-17 00:56:48 UTC,,,,2018-03-07,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,TOUCH N GO CHEVRON,545-569 Terminal Dr,On East side of building.,Salt Lake City,UT,84116,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.777208,-111.981191,2025-01-17,92356,2025-01-17 00:56:42 UTC,,,,2018-03-07,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,SCO PCH BASEMENT,30 N 1900 E,,Salt Lake City,UT,84132,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.771534,-111.83969,2025-01-17,93861,2025-01-17 00:56:49 UTC,,,,2018-03-18,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,SPX CHARGEPOINT BUILDING F,142 N Union Ave,West side of Building F,Farmington,UT,84025,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.983208,-111.908052,2025-01-17,94496,2025-01-17 00:58:12 UTC,,,,2018-03-24,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,PUBLIC USE SUNNYSIDE AVE,2600 Sunnyside Ave S,"Located on west bound E Sunnyside Ave, across the street from Hogle Zoo main entrance",Salt Lake City,UT,84108,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.751177,-111.814384,2025-01-17,95019,2025-01-17 00:51:36 UTC,,,,2018-04-17,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,PUBLIC USE FOREST DALE GOL,2375 900 E Forest Dale Golf Course,North of club house entrance,Salt Lake City,UT,84106,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.718913,-111.864822,2025-01-17,95023,2025-01-17 00:50:29 UTC,,,,2018-04-17,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,PUBLIC USE LIB SQ GAR P1-1,210 E 400 S Library Square Garage,Station on level P1 at Column H-15,Salt Lake City,UT,84111,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.759538,-111.883972,2025-01-17,95024,2025-01-17 00:50:13 UTC,,,,2018-04-17,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,PUBLIC USE LIB SQ GAR P1-2,210 E 400 S Library Square Garage (P1),Station on level P1 at Column H-15,Salt Lake City,UT,84111,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.759428,-111.883626,2025-01-17,95025,2025-01-17 00:50:12 UTC,,,,2018-04-17,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,PUBLIC USE PIONEER PARK,349 W 300 S Pioneer Park,North side of Pioneer Park on East bound 300 S,Salt Lake City,UT,84101,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.762713,-111.9009,2025-01-17,95028,2025-01-17 00:50:06 UTC,,,,2018-04-17,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,PUBLIC USE SORENSON MULTIC,855 W California Ave Sorenson Multicultural C,Outside of Sorenson Multicultural Center,Salt Lake City,UT,84104,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.740749,-111.914369,2025-01-17,95030,2025-01-17 00:49:51 UTC,,,,2018-04-17,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,DOWNTOWN DA L2 WEST STATION,35 W 500 S,Level 2 parking structure,Salt Lake City,UT,84101,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.758936,-111.890011,2025-01-17,98415,2025-01-17 01:00:26 UTC,,,,2018-05-18,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,SCO LDS POB,324 10th Ave,Physician Tower Level 3,Salt Lake City,UT,84103,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.780519,-111.880174,2025-01-17,98492,2025-01-17 00:59:42 UTC,,,,2018-05-23,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,SCO LDS VISITOR N,383 C St E,,Salt Lake City,UT,84103,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.77826,-111.880842,2025-01-17,98565,2025-01-17 01:00:33 UTC,,,,2018-05-26,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,Zion National Park,Zion Park Blvd,,Springdale,UT,84767,,,E,,Private,Fleet and employee use only,,,,,,4,,,Non-Networked,,GPS,37.199954,-112.983581,2022-10-11,98606,2025-01-13 23:21:35 UTC,FG,16,Department of the Interior,2018-04-01,,,,,J1772,US,,,,Privé,,private,,DOI,NATL_PARK,,,,,,,,,,,,,,,,,,,,,,Zion National Park,,,,true,
ELEC,U OF U LASSONDE SOUTH,215 Central Campus Dr,Parking Northwest side of Lassonde Studios,Salt Lake City,UT,84112,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.764635,-111.84249,2025-01-17,99707,2025-01-17 00:45:15 UTC,,,,2018-07-12,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,U OF U LASSONDE NORTH,1700 Student Life Way,Parking lot northwest side of Lassonde Studios,Salt Lake City,UT,84112,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.764676,-111.842516,2025-01-17,99708,2025-01-17 00:45:08 UTC,,,,2018-07-12,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,RAINBOW MAN DINOSAUR INN,251 E Main St,Station is in parking lot for Dinosaur Inn motel,Vernal,UT,84078,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.455916,-109.52307,2025-01-17,100014,2025-01-17 01:01:33 UTC,,,,2018-07-31,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,UVU PARKING L6,815 College Dr,Permit is required to park,Orem,UT,84058,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.28219,-111.719711,2025-01-17,100273,2025-01-17 01:00:51 UTC,,,,2018-08-09,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,UVU PARKING W2,1518 1000 S,UVU Health professions building parking lot,Orem,UT,84058,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.279505,-111.729414,2025-01-17,100274,2025-01-17 01:00:51 UTC,,,,2018-08-09,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,UVU PARKING M23,601 College Dr,Permit is required to park,Orem,UT,84058,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.278777,-111.70941,2025-01-17,100282,2025-01-17 01:00:00 UTC,,,,2018-08-09,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,Beaver Valley Chevron - Tesla Supercharger,Littlefield Interchange,,Beaver,UT,84713,,877-798-3752,E,,Public,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,,,,,,,8,,Tesla,https://www.tesla.com/supercharger,GPS,38.249149,-112.652524,2024-07-01,102456,2025-01-09 17:57:07 UTC,P,,,2014-05-01,,,,,TESLA,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,City of Blanding Visitor Center - Tesla Supercharger,12 N Grayson Parkway,,Blanding,UT,84511,,877-798-3752,E,,Public,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,,,,,,,4,,Tesla,https://www.tesla.com/supercharger,200-8,37.625618,-109.473842,2024-07-01,102457,2025-01-09 17:57:07 UTC,P,,,2014-01-01,,,,,TESLA,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
